,training_type,network,optimizer,proposal,base_dist,step,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean
,,,,,,,mean,std,count,min,max,mean,std,count,min,max
9,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3129,-7.03563380241394,0.23128740611189869,2,-7.199178695678711,-6.87208890914917,-3.6941277980804443,0.012026350341492546,2,-3.702631711959839,-3.68562388420105
10,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3442,-8.40628433227539,2.0804156469680617,2,-9.877360343933105,-6.935208320617676,-3.9019477367401123,0.24164002080532662,2,-4.072813034057617,-3.7310824394226074
11,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3755,-7.669525861740112,0.7923502995863771,2,-8.229802131652832,-7.109249591827393,-3.7842867374420166,0.34878203016705245,2,-4.03091287612915,-3.537660598754883
12,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4068,-6.710354328155518,0.5302457921928888,2,-7.085294723510742,-6.335413932800293,-3.9309000968933105,0.32725712887035674,2,-4.16230583190918,-3.6994943618774414
13,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4381,-7.8196916580200195,3.5220509605067085,2,-10.310157775878906,-5.329225540161133,-3.7939802408218384,0.29909207588446673,2,-4.005470275878906,-3.5824902057647705
14,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4694,-8.32957911491394,0.9159073263313379,2,-8.97722339630127,-7.681934833526611,-3.815656900405884,0.5265547397876988,2,-4.187987327575684,-3.443326473236084
15,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5007,-7.4273786544799805,0.4383285732124503,2,-7.737323760986328,-7.117433547973633,-3.5093324184417725,0.15852137792002227,2,-3.6214239597320557,-3.3972408771514893
16,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5320,-7.573111295700073,0.6075313112442855,2,-8.002700805664062,-7.143521785736084,-3.6843068599700928,0.08699176967606145,2,-3.745819330215454,-3.6227943897247314
17,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5633,-7.550060749053955,1.7043720236597986,2,-8.755233764648438,-6.344887733459473,-4.0660160779953,0.4901079996568121,2,-4.412574768066406,-3.7194573879241943
18,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5946,-6.959015607833862,0.8551963083379414,2,-7.563730716705322,-6.354300498962402,-3.524444580078125,0.014193035529740586,2,-3.534480571746826,-3.514408588409424
19,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6259,-6.8485517501831055,1.5958368080736967,2,-7.976978778839111,-5.7201247215271,-3.6203688383102417,0.15342649828463137,2,-3.7288577556610107,-3.5118799209594727
20,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6572,-7.372546195983887,2.7973153326998124,2,-9.350546836853027,-5.394545555114746,-3.346505045890808,0.10630126402763053,2,-3.4216713905334473,-3.271338701248169
21,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6885,-7.529956340789795,0.6983584441348383,2,-8.023770332336426,-7.036142349243164,-3.4411743879318237,0.12022287385296096,2,-3.5261847972869873,-3.35616397857666
22,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7198,-7.800807237625122,1.1810393261470606,2,-8.6359281539917,-6.965686321258545,-3.7363520860671997,0.3046905260658658,2,-3.95180082321167,-3.5209033489227295
23,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7511,-7.354659795761108,3.070946497398848,2,-9.52614688873291,-5.183172702789307,-3.471228241920471,0.33611285609207175,2,-3.7088959217071533,-3.233560562133789
24,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7824,-7.058297157287598,2.6224376058096825,2,-8.912640571594238,-5.203953742980957,-3.456970453262329,0.4414042816293813,2,-3.769090414047241,-3.144850492477417
25,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8137,-7.504665851593018,1.2269149906394106,2,-8.372225761413574,-6.637105941772461,-3.3225499391555786,0.1611963541013117,2,-3.436532974243164,-3.208566904067993
26,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8450,-8.164809465408325,2.9041130866029015,2,-10.218327522277832,-6.111291408538818,-3.629441022872925,0.4545800608234629,2,-3.9508776664733887,-3.308004379272461
27,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8763,-9.446821689605713,1.4937537692324305,2,-10.50306510925293,-8.390578269958496,-3.516929268836975,0.08916637847182954,2,-3.579979419708252,-3.4538791179656982
28,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9076,-8.151595115661621,4.1273444426824595,2,-11.070068359375,-5.233121871948242,-3.468806743621826,0.1409795223950001,2,-3.5684943199157715,-3.369119167327881
29,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9389,-8.096492052078247,3.080622739467373,2,-10.274821281433105,-5.918162822723389,-3.1899263858795166,0.10471199066398175,2,-3.2639689445495605,-3.1158838272094727
30,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9702,-7.664884805679321,2.7595446757635016,2,-9.616177558898926,-5.713592052459717,-3.3578916788101196,0.039578082387852064,2,-3.3858776092529297,-3.3299057483673096
31,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10015,-7.788129568099976,2.3397114883767838,2,-9.44255542755127,-6.133703708648682,-3.4915552139282227,0.5919143865844528,2,-3.910101890563965,-3.0730085372924805
32,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10328,-9.73044729232788,1.8322772564719314,2,-11.026062965393066,-8.434831619262695,-3.2295703887939453,0.072280833671819,2,-3.2806806564331055,-3.178460121154785
33,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10641,-9.827059268951416,4.4269963973025455,2,-12.957418441772461,-6.696700096130371,-3.353022575378418,0.14007117351589332,2,-3.4520678520202637,-3.2539772987365723
34,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10954,-9.147776126861572,4.810372223552552,2,-12.549222946166992,-5.746329307556152,-3.3622500896453857,0.020559907053190284,2,-3.3767881393432617,-3.3477120399475098
35,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,11267,-8.750216722488403,4.470976465136269,2,-11.911674499511719,-5.588758945465088,-3.256582736968994,0.02550356379612411,2,-3.2746164798736572,-3.238548994064331
36,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,11580,-7.363006830215454,3.887495494351452,2,-10.111881256103516,-4.614132404327393,-3.378246307373047,0.14342977158002942,2,-3.4796664714813232,-3.2768261432647705
37,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,11893,-8.212586164474487,3.465900905871767,2,-10.663348197937012,-5.761824131011963,-3.37459135055542,0.34092754347856224,2,-3.615663528442383,-3.133519172668457
38,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,12206,-8.465511083602905,3.938196467236117,2,-11.250236511230469,-5.680785655975342,-3.4711910486221313,0.22180824270701055,2,-3.62803316116333,-3.3143489360809326
